speed,weight,dead,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,abcat,occRole,deploy,injSeverity
1-9km/h,808.9689999968,alive,airbag,belted,1,f,26,2000,1999,nodeploy,pass,0,0
10-24,1627.6309999973,alive,airbag,belted,1,f,23,1999,1996,nodeploy,driver,,0
10-24,120.6789999995,alive,airbag,belted,1,m,17,1999,1998,deploy,driver,1,0
10-24,424.4349999987,alive,none,none,0,m,39,1999,1993,unavail,driver,0,0
10-24,1237.3409999907,alive,airbag,belted,1,m,24,2002,1996,nodeploy,pass,0,0
25-39,21.4149999998,alive,,belted,0,f,39,2002,1999,,pass,0,3
10-24,669.799999997,alive,airbag,belted,1,f,53,2001,1993,deploy,driver,1,0
25-39,553.4669999927,alive,none,belted,1,m,27,2001,1990,unavail,driver,0,5
10-24,124.6209999993,alive,airbag,belted,1,m,25,2002,2000,deploy,driver,1,0
10-24,1339.1719999909,alive,airbag,none,0,m,30,2001,1992,deploy,driver,1,0
10-24,16.5919999999,alive,none,belted,0,m,60,1998,1994,unavail,driver,0,3
10-24,2041.9299999923,alive,airbag,none,1,f,19,2000,1991,nodeploy,driver,0,0
25-39,130.1339999996,alive,none,belted,1,m,52,1997,1992,unavail,driver,0,
10-24,502.2209999971,alive,airbag,belted,0,m,42,2002,1997,nodeploy,driver,0,2
10-24,2376.5289999843,alive,airbag,belted,0,f,48,1997,1993,nodeploy,driver,0,1
55+,73.0049999999,alive,airbag,belted,1,f,24,1998,1996,deploy,driver,1,3
25-39,58.9449999998,alive,none,none,0,f,35,1998,1990,unavail,pass,0,3
10-24,27.3969999999,alive,airbag,none,0,m,66,1997,1995,nodeploy,driver,0,1
25-39,388.8129999973,alive,airbag,belted,1,f,28,1999,1992,deploy,driver,1,1
10-24,33.9149999996,dead,airbag,none,0,f,69,2001,1996,deploy,driver,1,4
10-24,64.7259999998,alive,airbag,belted,1,f,30,2002,1999,deploy,driver,1,
10-24,33.4219999998,alive,airbag,belted,1,m,43,1997,1994,nodeploy,driver,0,3
40-54,15.507,alive,airbag,belted,1,f,34,1999,1995,deploy,pass,1,1
25-39,48.5449999999,alive,none,none,0,m,22,1998,1990,unavail,pass,0,3
10-24,85.7609999999,alive,airbag,belted,1,f,18,2001,2000,deploy,driver,1,1
10-24,45.8039999995,alive,none,belted,0,f,29,2001,1989,unavail,driver,0,3
25-39,21.2359999998,alive,none,belted,1,m,21,2001,1988,unavail,pass,0,3
25-39,20.1179999998,dead,,belted,0,m,71,2002,1989,unavail,driver,0,4
40-54,68.142,dead,none,none,1,m,23,1998,1987,unavail,driver,0,4
10-24,7.528,alive,airbag,belted,1,f,16,2002,2000,deploy,pass,1,3
40-54,58.3609999996,alive,none,belted,0,f,33,1998,1984,unavail,driver,0,2
10-24,77.7329999991,alive,none,belted,1,m,71,2000,1990,unavail,driver,0,3
10-24,937.8899999931,alive,airbag,belted,1,m,38,2002,1998,nodeploy,driver,0,0
10-24,442.0519999973,alive,airbag,belted,0,f,35,1998,1992,nodeploy,driver,0,0
55+,49.7679999997,alive,none,belted,1,m,36,,1988,unavail,pass,0,3
10-24,3.905,alive,none,none,1,f,27,1997,1975,unavail,driver,0,0
25-39,85.8219999997,alive,none,none,1,f,43,1997,1990,unavail,driver,0,2
25-39,19.6719999998,alive,none,none,1,m,39,2000,1993,unavail,driver,0,3
40-54,45.6529999999,alive,airbag,belted,1,f,70,2001,1994,,driver,1,3
55+,23.4939999999,alive,none,none,0,m,39,1997,1982,unavail,driver,0,3
10-24,6.964,dead,none,belted,1,f,86,1999,1982,unavail,driver,0,3
10-24,195.9299999997,alive,airbag,belted,1,f,44,1999,1998,deploy,driver,1,3
40-54,18.2859999998,alive,airbag,none,1,m,22,1998,1991,deploy,driver,1,3
10-24,150.5719999988,alive,none,belted,0,f,32,1999,1988,unavail,driver,0,1
10-24,157.5449999999,alive,none,belted,1,m,48,1997,1988,unavail,driver,0,0
10-24,1997.1359999925,alive,none,belted,1,m,21,1997,1988,unavail,driver,0,2
10-24,18.2859999998,alive,none,none,1,m,31,1998,1988,unavail,driver,0,3
10-24,1039.4799999893,alive,airbag,belted,0,f,27,1997,1996,deploy,driver,1,1
25-39,34.4199999999,alive,none,none,1,m,19,2002,1984,unavail,driver,0,3
10-24,42.821,alive,airbag,belted,0,f,17,1999,1996,nodeploy,pass,0,3
10-24,56.2799999998,alive,none,none,1,m,34,2000,1976,unavail,driver,0,1
25-39,44.7549999999,alive,airbag,belted,0,f,21,1999,1994,deploy,driver,1,1
40-54,653.4199999943,alive,none,belted,1,m,18,1998,1986,unavail,driver,0,1
25-39,1045.4039999992,alive,airbag,belted,1,f,38,1997,1996,deploy,pass,1,0
10-24,1815.721999988,alive,airbag,belted,1,m,20,1998,1997,nodeploy,pass,0,0
10-24,18.5359999998,alive,airbag,belted,1,m,21,1997,1995,deploy,driver,1,3
1-9km/h,1177.7849999964,alive,none,none,1,m,41,2000,1989,unavail,driver,0,3
10-24,3456.9009999931,alive,none,none,0,f,27,2000,1988,unavail,driver,0,2
40-54,31.4849999999,alive,none,,0,m,17,1998,1975,unavail,driver,0,2
25-39,18.3239999998,alive,none,belted,1,m,26,1999,1990,unavail,driver,0,0
10-24,47.5029999996,alive,none,belted,1,m,53,1998,1988,unavail,pass,0,2
25-39,50.6169999996,alive,airbag,belted,0,f,28,1997,1996,nodeploy,driver,0,3
10-24,847.4509999976,alive,airbag,belted,1,m,16,2002,1994,deploy,driver,1,0
10-24,1670.4479999989,alive,none,belted,1,f,18,2000,1984,unavail,driver,0,0
25-39,256.9839999974,alive,none,belted,1,m,22,1999,1989,unavail,driver,0,2
10-24,3762.5669999719,alive,airbag,belted,0,f,27,2002,2001,nodeploy,driver,0,2
1-9km/h,1,alive,airbag,belted,1,f,38,2002,1993,nodeploy,driver,0,0
40-54,4.96,alive,airbag,belted,1,f,50,1999,1995,deploy,pass,1,1
40-54,13.3809999999,alive,none,none,1,m,31,1997,1979,unavail,driver,0,3
25-39,84.2509999992,alive,airbag,belted,1,f,42,2000,1997,deploy,driver,1,3
10-24,56.9779999997,alive,airbag,belted,0,f,60,1998,1998,deploy,driver,1,1
10-24,193.3629999999,alive,airbag,belted,1,m,20,2002,1993,deploy,driver,1,1
55+,296.1639999971,alive,airbag,none,1,m,25,2002,2002,deploy,driver,1,1
10-24,138.3099999987,alive,airbag,belted,0,f,39,1997,1994,deploy,driver,1,2
25-39,41.1189999999,alive,none,none,1,m,28,1997,1987,unavail,pass,0,3
40-54,6.004,alive,none,belted,0,m,23,1997,1991,unavail,driver,0,1
25-39,172.2929999996,alive,airbag,none,1,m,19,2001,1991,deploy,driver,1,1
10-24,272.1899999976,alive,airbag,belted,1,f,32,1999,1997,nodeploy,driver,0,2
25-39,252.9989999998,alive,airbag,belted,0,f,43,2001,2000,nodeploy,driver,0,0
25-39,34.9499999997,dead,none,none,0,m,30,2000,1993,unavail,driver,0,4
40-54,165.2619999982,alive,none,none,1,m,25,1998,1984,unavail,pass,0,3
10-24,1045.9259999991,alive,none,none,1,f,21,2000,1986,unavail,driver,0,1
10-24,17.3979999998,alive,airbag,belted,1,,69,2000,1996,nodeploy,driver,0,3
10-24,1708.3349999934,alive,none,belted,0,f,28,1997,1989,unavail,driver,0,0
10-24,13.222,alive,airbag,belted,0,m,37,2001,1999,nodeploy,driver,0,1
25-39,76.0729999999,alive,none,belted,0,m,16,2001,1993,unavail,pass,0,3
10-24,1883.0069999993,alive,none,belted,1,m,27,1997,1980,unavail,driver,0,1
25-39,13.936,alive,none,none,1,m,70,1998,1981,unavail,driver,0,3
25-39,150.3929999992,alive,airbag,belted,0,f,43,2000,1999,nodeploy,pass,0,3
40-54,986.5039999932,alive,none,belted,1,f,64,1997,1984,unavail,pass,0,2
10-24,84.5209999997,alive,airbag,belted,1,f,25,2000,1999,deploy,driver,1,1
10-24,61.8109999998,alive,airbag,belted,0,m,55,2000,1997,nodeploy,driver,0,3
1-9km/h,513.4649999961,alive,airbag,belted,1,f,23,1997,1994,nodeploy,pass,0,0
10-24,80.7469999995,alive,airbag,belted,1,f,20,2002,2000,deploy,driver,1,2
25-39,3.905,alive,none,belted,1,f,62,1997,1991,unavail,driver,0,3
40-54,37.4549999996,dead,none,none,1,m,45,1999,1985,unavail,driver,0,4
10-24,31.1549999998,alive,none,none,0,m,20,1998,1985,unavail,driver,0,3
55+,47.1779999998,alive,airbag,none,1,f,26,2000,1995,deploy,driver,1,3
10-24,1108.4329999983,alive,airbag,belted,1,f,81,1998,1992,deploy,driver,1,0
25-39,36.0319999997,alive,airbag,belted,0,f,46,2002,1999,deploy,driver,1,3
25-39,322.2729999982,alive,none,none,0,f,17,2002,1992,unavail,pass,0,3
40-54,432.9059999995,alive,airbag,belted,1,f,48,1998,1996,deploy,driver,1,0
1-9km/h,536.1569999978,alive,airbag,belted,1,f,19,2001,1995,nodeploy,driver,0,1
25-39,221.902999999,alive,airbag,belted,0,f,18,1999,1994,deploy,driver,1,3
25-39,20.3589999999,alive,none,none,1,m,70,2001,1988,unavail,pass,0,2
10-24,152.0359999985,alive,airbag,belted,1,f,49,2002,2001,nodeploy,driver,0,1
10-24,264.8099999987,alive,none,none,1,f,25,2002,1989,unavail,pass,0,1
10-24,1420.348999992,alive,airbag,belted,0,,54,2002,1998,nodeploy,driver,0,0
10-24,161.129999999,alive,none,belted,1,f,16,1997,1992,unavail,pass,0,0
10-24,10.9169999999,alive,airbag,none,0,m,48,1999,1998,nodeploy,pass,0,0
10-24,1119.0209999979,alive,none,none,1,f,19,2001,1992,unavail,pass,0,0
10-24,2321.6879999936,alive,none,belted,1,m,26,1997,1996,unavail,pass,0,0
10-24,16.7079999999,alive,airbag,belted,1,m,22,1999,1995,deploy,driver,1,1
55+,55.3279999997,dead,none,none,1,m,48,1999,1981,unavail,driver,0,4
10-24,48.7539999997,alive,none,belted,1,f,46,2000,1993,unavail,pass,0,3
40-54,10.7609999999,alive,airbag,belted,0,f,20,2001,2000,deploy,pass,1,3
10-24,675.8659999967,alive,airbag,belted,0,f,17,2000,1994,deploy,driver,1,2
10-24,16.7379999999,alive,none,belted,1,m,53,1998,1989,unavail,driver,0,1
10-24,87.5959999999,alive,airbag,belted,1,f,29,2001,1999,deploy,driver,1,2
55+,32.4669999997,dead,airbag,belted,0,m,22,1998,1991,deploy,driver,1,4
10-24,39.3499999996,alive,airbag,none,1,m,44,2002,1998,nodeploy,pass,0,3
10-24,760.9009999931,alive,airbag,belted,0,f,25,2002,1992,nodeploy,,0,0
10-24,2454.6389999986,alive,none,belted,0,m,59,1997,1991,unavail,driver,0,2
25-39,367.8929999992,alive,airbag,belted,0,f,21,2000,1993,nodeploy,driver,0,0
10-24,171.0989999995,alive,airbag,belted,1,f,39,2000,1997,nodeploy,driver,0,0
25-39,799.7919999957,alive,airbag,belted,1,f,29,2001,1999,deploy,driver,1,0
10-24,366.5779999979,alive,airbag,none,1,m,32,1999,1998,deploy,driver,1,2
25-39,317.5859999992,alive,none,none,1,m,20,1997,1994,unavail,pass,0,2
10-24,135.6289999988,alive,airbag,belted,0,m,59,2002,1996,nodeploy,driver,0,1
10-24,13694.4499999285,alive,airbag,belted,1,m,37,2001,1991,deploy,driver,1,1
10-24,1954.5779999942,alive,none,belted,1,m,25,1997,1990,unavail,driver,0,0
25-39,126.0119999992,alive,airbag,none,1,m,30,2002,2000,deploy,driver,1,2
10-24,58.801,alive,none,belted,0,f,34,1998,1989,,pass,0,0
55+,54.3159999996,alive,none,belted,0,m,22,1999,1989,unavail,driver,0,2
10-24,109.5319999997,alive,airbag,belted,1,f,38,1999,1997,deploy,driver,1,1
10-24,82.9799999995,alive,airbag,belted,1,f,30,1997,1993,deploy,driver,1,3
55+,49.4829999995,dead,airbag,belted,1,m,,1998,1998,deploy,driver,1,5
40-54,301.8549999967,alive,airbag,none,1,f,54,2002,2001,deploy,driver,1,3
10-24,372.5529999994,alive,airbag,belted,1,f,17,2001,1995,deploy,driver,1,0
25-39,629.5129999965,alive,none,belted,1,m,23,2001,1995,unavail,driver,0,0
25-39,373.6279999986,alive,airbag,belted,1,f,26,2001,1998,deploy,pass,1,1
25-39,1455.2569999993,alive,none,belted,1,m,19,1998,1991,unavail,driver,0,0
10-24,11.75,alive,airbag,belted,0,f,47,2000,1995,nodeploy,pass,0,3
25-39,14.115,alive,none,none,1,m,37,1999,1989,unavail,driver,0,3
25-39,6.589,alive,none,,1,m,28,1997,1986,unavail,driver,0,1
25-39,33.6039999998,alive,none,none,1,m,21,2000,1988,unavail,pass,0,3
25-39,8.08,alive,airbag,none,0,m,56,1998,1997,deploy,driver,1,3
40-54,95.2399999993,alive,airbag,belted,1,m,19,2001,1998,deploy,driver,1,3
40-54,5.7279999999,dead,none,belted,0,f,41,1999,1990,unavail,driver,0,4
25-39,37.4549999996,alive,airbag,belted,0,f,16,1999,1991,nodeploy,driver,0,1
40-54,59.0779999997,alive,,none,0,m,68,1998,1987,unavail,driver,0,3
25-39,72.3879999993,,airbag,belted,1,f,17,1997,1995,deploy,driver,1,3
25-39,97.9439999992,alive,none,belted,1,f,84,1999,1993,unavail,pass,0,0
25-39,29.4209999999,alive,none,none,1,m,63,2000,1987,unavail,driver,0,3
55+,126.0809999993,alive,airbag,belted,1,m,55,1999,1993,deploy,driver,1,3
10-24,100.1429999992,alive,airbag,none,1,m,16,2001,1996,nodeploy,driver,0,2
25-39,2089.7409999967,alive,none,belted,1,,17,1998,1990,unavail,pass,0,2
10-24,378.0949999988,alive,none,belted,1,m,18,1997,1993,unavail,pass,0,0
40-54,4.151,alive,none,none,0,m,51,2000,1986,,pass,0,4
25-39,13573.8819999695,alive,none,none,1,m,39,1998,1978,unavail,driver,0,0
