year,age,maritl,race,education,jobclass,health,health_ins,wage
2007,49,1. Never Married,1. White,2. HS Grad,2. Information,2. >=Very Good,2. No,57.9709421773
2006,51,2. Married,2. Black,2. HS Grad,1. Industrial,1. <=Good,1. Yes,94.0727147457
2004,40,2. Married,3. Asian,1. < HS Grad,2. Information,1. <=Good,,105.9278107751
2003,48,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,118.8843593399
2005,40,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,148.4131591026
2009,21,1. Never Married,2. Black,2. HS Grad,2. Information,1. <=Good,1. Yes,102.8702469332
2004,40,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,136.8763676352
2007,54,2. Married,3. Asian,1. < HS Grad,1. Industrial,1. <=Good,2. No,65.1108537153
2007,38,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,136.8763676352
,58,2. Married,2. Black,3. Some College,1. Industrial,1. <=Good,1. Yes,123.0896998479
2003,37,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,200.5432623247
2004,43,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,2. No,256.4006495624
2007,45,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,148.4131591026
2008,39,2. Married,1. White,4. College Grad,1. Industrial,1. <=Good,1. Yes,95.230712567
2003,48,2. Married,1. White,,1. Industrial,2. >=Very Good,2. No,78.392466801
2005,40,2. Married,1. White,3. Some College,1. Industrial,1. <=Good,1. Yes,154.6852929956
2004,22,1. Never Married,2. Black,3. Some College,2. Information,1. <=Good,2. No,95.230712567
2003,25,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,59.7342233407
2007,46,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,281.7459705519
2006,28,1. Never Married,2. Black,3. Some College,1. Industrial,1. <=Good,,54.5981500331
2008,32,1. Never Married,1. White,3. Some College,1. Industrial,2. >=Very Good,2. No,76.8936025176
2008,38,2. Married,2. Black,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,87.9810327856
2004,44,1. Never Married,2. Black,4. College Grad,2. Information,1. <=Good,1. Yes,90.4819133566
2005,56,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,2. No,134.7053751189
2004,36,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,2. No,76.8936025176
2007,26,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,2. No,99.6894636985
,48,2. Married,3. Asian,4. College Grad,2. Information,1. <=Good,1. Yes,160.6424754083
2008,44,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,65.1108537153
2003,25,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,65.1108537153
2003,33,1. Never Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,114.4757132903
2004,53,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,108.6813082373
2006,41,2. Married,3. Asian,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.8339856422
2003,19,1. Never Married,1. White,2. HS Grad,2. Information,,2. No,54.5981500331
2003,26,1. Never Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,87.9810327856
2006,30,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,114.4757132903
2007,41,4. Divorced,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,110.7826502763
2005,38,2. Married,1. White,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,186.876677628
2007,,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,123.908567598
2008,51,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,129.9836348189
2006,43,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,184.1671357996
2006,49,1. Never Married,2. Black,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,141.7751723332
2009,25,1. Never Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,69.0981838087
2009,47,2. Married,2. Black,3. Some College,1. Industrial,2. >=Very Good,1. Yes,92.8958447895
2004,27,2. Married,1. White,3. Some College,1. Industrial,1. <=Good,1. Yes,87.9810327856
2006,43,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,
2004,41,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,2. No,73.7757432747
2005,46,4. Divorced,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,117.1468169148
2003,33,1. Never Married,2. Black,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,63.9666908301
2005,68,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,87.9810327856
2005,51,2. Married,,4. College Grad,2. Information,2. >=Very Good,1. Yes,189.2441629328
2007,44,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,160.6424754083
2003,48,1. Never Married,2. Black,2. HS Grad,2. Information,2. >=Very Good,1. Yes,87.9810327856
2008,26,2. Married,2. Black,3. Some College,,1. <=Good,1. Yes,109.8339856422
2004,32,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,109.3556264003
2007,23,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,73.4544282608
2007,60,1. Never Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,106.9218140912
2006,52,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,109.8339856422
,41,1. Never Married,1. White,4. College Grad,2. Information,1. <=Good,1. Yes,130.9821773775
2009,71,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,98.5993438604
2003,50,2. Married,2. Black,2. HS Grad,2. Information,2. >=Very Good,1. Yes,91.6992261117
2003,42,2. Married,,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,148.4131591026
2009,33,1. Never Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,99.6894636985
2008,45,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,145.1436011769
2003,49,2. Married,1. White,4. College Grad,2. Information,,1. Yes,152.5282168986
2008,41,2. Married,1. White,3. Some College,1. Industrial,1. <=Good,2. No,108.8745258347
2004,53,2. Married,1. White,4. College Grad,1. Industrial,1. <=Good,1. Yes,143.1349408111
2003,42,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,2. No,123.908567598
2007,37,4. Divorced,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,123.0896998479
2007,48,4. Divorced,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,108.8745258347
2004,59,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,182.0206209635
2004,34,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,81.2832532843
2008,42,1. Never Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,104.9215065337
2003,33,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,62.9136549692
2003,26,1. Never Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,73.7757432747
2008,39,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,175.4435492991
2005,54,2. Married,,2. HS Grad,2. Information,2. >=Very Good,1. Yes,87.9810327856
2005,47,2. Married,1. White,5. Advanced Degree,2. Information,1. <=Good,1. Yes,127.1157438122
2005,34,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,107.9039238669
,21,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,72.1504556816
2005,34,4. Divorced,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,109.8339856422
2009,36,2. Married,2. Black,3. Some College,1. Industrial,2. >=Very Good,1. Yes,128.6804882206
2004,36,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,131.737801155
2007,42,2. Married,2. Black,2. HS Grad,2. Information,1. <=Good,1. Yes,89.492479518
2008,58,2. Married,1. White,3. Some College,1. Industrial,1. <=Good,2. No,104.9215065337
2008,42,1. Never Married,2. Black,2. HS Grad,2. Information,2. >=Very Good,2. No,78.9846061809
2003,31,1. Never Married,2. Black,3. Some College,2. Information,2. >=Very Good,1. Yes,99.6894636985
2007,48,4. Divorced,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,97.4932940454
2008,61,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,141.7751723332
2006,29,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,109.8339856422
2005,44,2. Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,70.4760196469
2006,22,1. Never Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,114.4757132903
2003,44,2. Married,3. Asian,2. HS Grad,2. Information,1. <=Good,1. Yes,112.6488963421
2005,40,2. Married,3. Asian,5. Advanced Degree,2. Information,1. <=Good,1. Yes,87.9810327856
2003,49,2. Married,2. Black,3. Some College,2. Information,1. <=Good,2. No,134.7053751189
2007,63,2. Married,1. White,4. College Grad,1. Industrial,1. <=Good,2. No,55.5361044177
2009,53,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,109.8339856422
2007,29,1. Never Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,103.9024706032
2009,53,2. Married,2. Black,3. Some College,2. Information,1. <=Good,1. Yes,123.0896998479
2006,34,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,82.6796372966
2003,48,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,97.4932940454
2003,50,5. Separated,1. White,2. HS Grad,2. Information,1. <=Good,1. Yes,67.826787132
2005,32,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,81.2832532843
2005,29,2. Married,1. White,3. Some College,1. Industrial,1. <=Good,1. Yes,109.8339856422
2007,28,1. Never Married,1. White,3. Some College,1. Industrial,1. <=Good,2. No,102.7662808773
2003,52,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,191.5736835484
2003,28,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,87.9810327856
2008,25,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,127.1157438122
2004,44,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,2. No,160.6424754083
2003,48,2. Married,1. White,3. Some College,1. Industrial,1. <=Good,2. No,118.8843593399
2008,40,2. Married,3. Asian,4. College Grad,2. Information,1. <=Good,1. Yes,130.9821773775
2004,49,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,95.230712567
2003,39,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,85.383940379
2009,27,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,80.5731997057
2004,39,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,47.3389060963
2003,29,4. Divorced,1. White,4. College Grad,2. Information,2. >=Very Good,2. No,90.4819133566
2008,27,1. Never Married,1. White,3. Some College,1. Industrial,1. <=Good,1. Yes,102.8702469332
2003,40,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,81.2832532843
2009,27,1. Never Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,96.8667032433
2005,54,5. Separated,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,154.6852929956
2009,51,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,104.9215065337
2004,58,2. Married,1. White,1. < HS Grad,2. Information,1. <=Good,1. Yes,118.8843593399
2004,39,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,109.8339856422
2003,28,2. Married,1. White,4. College Grad,2. Information,1. <=Good,2. No,95.230712567
2004,43,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,78.9816745163
2008,45,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,124.7204462429
2003,54,5. Separated,,3. Some College,2. Information,1. <=Good,1. Yes,99.6894636985
2003,57,2. Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,130.9821773775
2004,26,1. Never Married,3. Asian,3. Some College,1. Industrial,2. >=Very Good,1. Yes,99.6894636985
2005,47,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,148.4131591026
2006,45,2. Married,1. White,3. Some College,2. Information,1. <=Good,1. Yes,119.0992347713
,28,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,2. No,87.9810327856
2004,39,2. Married,2. Black,4. College Grad,1. Industrial,2. >=Very Good,2. No,99.6894636985
2008,58,4. Divorced,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,70.4760196469
2006,44,2. Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,94.0727147457
2009,35,1. Never Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,148.4131591026
2005,44,2. Married,3. Asian,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,94.0727147457
2009,61,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,2. No,176.9896504899
2008,54,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,127.1157438122
2009,35,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,
2004,25,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,61.187526434
2007,28,1. Never Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,99.6894636985
2009,33,2. Married,1. White,5. Advanced Degree,1. Industrial,1. <=Good,1. Yes,87.9810327856
2005,45,3. Widowed,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,118.8843593399
2004,18,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,72.1504556816
2003,62,2. Married,,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,127.1157438122
2009,69,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,81.226746312
2004,52,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,2. No,94.0727147457
2007,31,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,149.0558955894
2008,48,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,2. No,114.4757132903
,50,2. Married,1. White,2. HS Grad,2. Information,1. <=Good,1. Yes,81.2832532843
2009,45,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,118.8843593399
2008,20,1. Never Married,1. White,3. Some College,2. Information,2. >=Very Good,2. No,82.6796372966
2009,59,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,76.8936025176
2003,45,3. Widowed,4. Other,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,94.0727147457
2008,47,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,134.7053751189
2006,41,1. Never Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,114.4757132903
2003,32,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,143.1349408111
2009,63,2. Married,3. Asian,5. Advanced Degree,1. Industrial,2. >=Very Good,2. No,114.4757132903
2008,38,1. Never Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,89.492479518
2007,49,2. Married,1. White,2. HS Grad,2. Information,1. <=Good,1. Yes,87.9810327856
2008,37,1. Never Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,118.8843593399
2003,44,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,91.6992261117
2007,45,4. Divorced,1. White,3. Some College,2. Information,1. <=Good,1. Yes,117.1468169148
2003,30,2. Married,4. Other,1. < HS Grad,2. Information,1. <=Good,2. No,123.0896998479
2007,41,1. Never Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,99.6894636985
2005,56,2. Married,3. Asian,3. Some College,2. Information,2. >=Very Good,1. Yes,81.9853178345
2009,59,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,200.5432623247
2009,57,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,128.6804882206
2008,47,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,159.4741766611
2008,58,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,123.0896998479
2006,31,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,81.2832532843
2006,32,1. Never Married,1. White,3. Some College,1. Industrial,1. <=Good,2. No,56.9055391447
2007,51,2. Married,3. Asian,3. Some College,2. Information,1. <=Good,2. No,81.2832532843
2004,50,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,109.8339856422
2004,45,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,148.4131591026
2004,32,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.8339856422
2005,52,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,111.720849361
2008,53,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,107.9039238669
2004,33,1. Never Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,101.402052303
2009,46,4. Divorced,1. White,2. HS Grad,2. Information,1. <=Good,1. Yes,143.6997101338
2009,49,2. Married,1. White,5. Advanced Degree,2. Information,1. <=Good,1. Yes,191.5736835484
2009,63,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,171.7651326275
2003,41,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,111.720849361
2005,33,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.8339856422
2007,47,2. Married,3. Asian,4. College Grad,2. Information,2. >=Very Good,2. No,105.9278107751
2004,52,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,127.1157438122
2007,48,4. Divorced,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.8339856422
2008,56,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,2. No,94.0727147457
2003,33,1. Never Married,3. Asian,2. HS Grad,1. Industrial,1. <=Good,1. Yes,99.2552868269
2008,52,2. Married,1. White,5. Advanced Degree,1. Industrial,1. <=Good,2. No,149.6950420685
2003,53,4. Divorced,1. White,4. College Grad,1. Industrial,1. <=Good,2. No,81.6352686511
2007,54,2. Married,3. Asian,2. HS Grad,1. Industrial,1. <=Good,2. No,79.8549003093
2007,50,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,81.9853178345
2003,35,2. Married,1. White,3. Some College,1. Industrial,1. <=Good,1. Yes,116.7071545591
2005,44,2. Married,1. White,3. Some College,1. Industrial,1. <=Good,1. Yes,101.8243520757
2003,55,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,81.2832532843
2003,26,1. Never Married,1. White,3. Some College,1. Industrial,2. >=Very Good,1. Yes,108.3906400204
2007,60,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,2. No,55.7673905085
2003,60,2. Married,1. White,2. HS Grad,1. Industrial,1. <=Good,1. Yes,107.9039238669
2003,52,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,92.1611220323
2007,57,4. Divorced,1. White,3. Some College,2. Information,1. <=Good,1. Yes,109.8339856422
2006,31,2. Married,1. White,1. < HS Grad,1. Industrial,1. <=Good,2. No,81.2832532843
2009,40,2. Married,1. White,3. Some College,1. Industrial,1. <=Good,1. Yes,97.4932940454
2006,56,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,127.1157438122
2005,37,2. Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,73.7757432747
2008,24,1. Never Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,73.7757432747
2008,29,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,91.6992261117
2003,20,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,59.0970640816
2008,66,2. Married,1. White,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,81.2832532843
2007,44,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,160.6424754083
2006,22,1. Never Married,1. White,2. HS Grad,2. Information,2. >=Very Good,2. No,99.6894636985
2005,36,2. Married,1. White,2. HS Grad,2. Information,2. >=Very Good,1. Yes,118.8843593399
2005,22,1. Never Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,73.7757432747
2004,23,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,2. No,61.187526434
2007,66,2. Married,2. Black,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,99.6894636985
2006,49,2. Married,1. White,3. Some College,2. Information,2. >=Very Good,1. Yes,118.8843593399
2006,48,2. Married,3. Asian,4. College Grad,2. Information,1. <=Good,2. No,141.7751723332
2006,54,5. Separated,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,277.7994802057
2008,49,2. Married,1. White,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,279.1974969917
2005,46,4. Divorced,1. White,4. College Grad,2. Information,2. >=Very Good,1. Yes,277.601417511
2007,40,2. Married,1. White,4. College Grad,2. Information,2. >=Very Good,2. No,160.6424754083
2004,47,2. Married,1. White,4. College Grad,1. Industrial,2. >=Very Good,2. No,81.2832532843
2006,30,1. Never Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,81.2832532843
2005,50,2. Married,1. White,5. Advanced Degree,1. Industrial,1. <=Good,2. No,115.3750385564
2004,42,2. Married,1. White,2. HS Grad,1. Industrial,2. >=Very Good,2. No,118.8843593399
2007,50,2. Married,1. White,1. < HS Grad,1. Industrial,1. <=Good,2. No,127.1157438122
